Name,Component,Pin
GND,BT2,1
GND,C2,2
GND,R24,1
GND,C1,2
GND,J1,1
GND,R11,1
GND,R19,1
GND,J2,1
GND,BT1,2
GND,C10,2
GND,R15,1
GND,U1,21
GND,C9,2
9_POS_SW,J2,9
9_POS_SW,U1,18
9_POS_SW,U1,3
9_POS_SW,C2,1
9_POS_SW,C1,1
9_POS_SW,BT1,1
RES - RIN+,U1,17
RES - RIN+,R11,2
RES - RIN+,R12,2
9_NEG_SW,J2,6
9_NEG_SW,C9,1
9_NEG_SW,BT2,2
9_NEG_SW,C10,1
9_NEG_SW,U1,1
9_NEG_SW,U1,20
R_OUT,J2,2
R_OUT,R10,2
L_OUT_RES,R23,2
L_OUT_RES,R9,1
L_OUT_RES,U1,2
LIN+,R16,1
LIN+,J1,3
L_OUT,R9,2
L_OUT,J2,3
RES - LIN-,U1,5
RES - LIN-,R24,2
RES - LIN-,R23,1
R_OUT_RES,U1,19
R_OUT_RES,R10,1
R_OUT_RES,R20,2
RES - RIN-,R19,2
RES - RIN-,R20,1
RES - RIN-,U1,16
RES - LIN+,R16,2
RES - LIN+,R15,2
RES - LIN+,U1,4
RIN+,R12,1
RIN+,J1,2
9VCC-,J2,5
9VCC+,J2,8
