RefDes,Side,LocationX (Mil),LocationY (Mil),Rotation,Package,Value
C3,bottom,43.51791338582677,-74.2265748031496,270,0805,100 nF
C4,bottom,43.51791338582677,67.50570866141732,90,0805,100 nF
R4,bottom,-196.8224409448819,282.4803149606299,180,,5k
R10,bottom,-196.6535433070866,395.09271653543306,270,,5k
C5,bottom,488.18897637795277,274.85161417322837,270,1210,10 uF
J1,top,-1030.9055118110236,0.0,0,TH,
C2,bottom,43.096259842519686,220.4724409448819,270,0805,100 nF
R2,bottom,-351.1950787401575,282.4803149606299,180,,5k
R8,bottom,-351.1950787401575,366.95708661417325,180,,5k
B1,top,1131.8897637795276,332.6771653543307,90,,
R1,bottom,-341.3525590551181,-285.43307086614175,180,,5k
IC1,bottom,-271.65354330708664,-1.968503937007874,0,SOIC20,
L1,bottom,584.6456692913385,-108.26771653543307,270,0805,330 ohm @ 100Mhz
B2,top,1129.9212598425197,-448.81889763779526,90,,
R9,bottom,-196.6535433070866,-395.6692913385827,90,,5k
R5,bottom,-32.269488188976375,-380.4978346456693,180,,5k
C1,bottom,43.51791338582677,-228.3464566929134,90,0805,100 nF
R7,bottom,-341.3525590551181,-371.8783464566929,180,,5k
C7,top,372.0472440944882,234.251968503937,270,,
R3,bottom,-196.8224409448819,-283.46456692913387,180,,5k
J2,top,1030.9,0.0,180,TH,
C6,bottom,486.2204724409449,-209.31968503937009,270,1210,10 uF
R6,bottom,-31.903740157480314,373.4391732283465,180,,5k
C8,top,374.01574803149606,-249.6729527559055,90,,
L2,bottom,622.0472440944882,332.9235433070866,0,0805,330 ohm @ 100Mhz
